Year,Month,Day,Time,Town / Village,Area,Occupation_x000D_(Where Relevant),Description
1997,1,20,19:45,Caernarfon Bay,Caernarfonshire,-,"A huge, blue, fast object in the sky. There was a cloud of smoke and it made the floor shake."
1997,1,27,22:40,Newport,South Glamorgan,-,A 'tube of light' coming down from the sky. It first looked like a star moving towards the car. Left a dust cover on the car.
1997,1,28,20:00,Swansea,Glamorgan,-,Three white lights accompanied by a red light. They seemed to be many miles away.
1997,2,2,07:30,Caerphilly,Mid-Glamorgan,-,"Cigar shaped object, with wings but no tail. Jade green in colour. White lights through windows. Moved in a straight line."
1997,2,10,09:35,Barry,Glamorgan,-,One oblong object. It was red in the centre and had up to fifteen lights. There was constant movement.
1997,2,14,08:15,Roath/Cardiff,Glamorgan,-,"One, triangular shaped object. A shiny, golden colour. It was moving in a straight line and was fast."
1997,2,18,22:06,A449/Llanwern/Newport,Monmouthshire,-,There was a cream coloured light.
1997,3,10,03:45,Llanfair Caereinion,Powys,-,A round ball with a tail. Was like a torch with a flare. There was no movement.
1997,3,11,20:26,Lynas-Wal/Llaneilian,Isle of Anglesey,-,One object with white and red lights.
1997,3,15,20:30,A483/Wrexham-Newtown,Denbighshire,-,"One, large, oval, white and very bright object. The object was straight and level and was moving parallel with the car."
1997,4,8,09:01,Penycae,Denbighshire,-,An object was moving in 90 degree angles. It sped up and then slowed down.
1997,4,13,22:00,Penarth Marina,South Glamorgan,-,There were two identically sized crafts. Extremely bright and both an obscured shape. They oscillated in an eliptical pattern.
1997,5,1,03:56,Cathays/Cardiff,South Glamorgan,-,One round object with lights. There was one medium constant light.There was an unusual noise. It made erratic jerky movements.
1997,5,22,23:10,Abergavenny,Monmouthshire,-,"One large, triangular shaped object. Black in colour. Was moving to the West."
1997,5,27,04:20,Gorseinon nr Swansea,West Glamorgan,-,"One round object. Yellow in colour, bright and shimmering. It was moving from left to right."
1997,5,30,10:57,Wrexham,Denbighshire,-,"One object, with one light on the front. About 450 ft up. It moved West and picked up speed."
1997,6,6,16:18,Gwernaffield/nr Mold,Flintshire,-,"A round, black object was travelling across the sky at speed. There appeared to be something draping from the bottom."
1997,6,9,21:10,Neath,West Glamorgan,-,"One large, house sized, rugby ball shaped object. Was grey and black in colour. There were lights on it, in a triangle shape."
1997,7,5,22:15,Maesycoed/Pontypridd,Mid Glamorgan,-,A triangular object. Had multicoloured flashing lights. It hovered and then shot off in an Easterly direction at high speed.
1997,7,5,01:00,Wrexham,Denbighshire,-,"A large, round object, as big as a house. It had a cluster of lights within it. It was pulsating left and right, as if on a pivot."
1997,7,8,22:10,Llay/Wrexham,Denbighshire,-,"One object, with four lights. All yellow/orange in colour. It moved to the North, then turned to it's original position, then disappeared."
1997,8,8,23:30,Abergavenny,Monmouthshire,-,"Oefnfeec ot.b  ject, that was bigger than a car. It was white and very bright. It came down the road."
1997,8,11,-,Cardiff,Glamorgan,-,"One shooting star. It zig-zagged across the sky, and then it disappeared."
1997,8,12,17:30,Cumbran nr Newport,Gwent,-,"A small triangular shaped object. It had black wings, and was sausage shaped in the middle. It was moving very fast."
2007,9,7,22:20,Mynydd Caerau,Glamorgan,-,"One round object, with a white light. It also had flashing/rotating blue and red lights. It moved up and down."
1997,10,1,04:45,Brongest,Dyfed,-,"Three round, star sized objects, in a triangular formation. They circled around each other, and then went back to their original position. White and very bright. They were"
1997,10,2,20:19,Townhill/Swansea,West Glamorgan,-,"One round shaped object. Red, orange and green in colour and bright. The object was stationary."
1997,10,22,02:49,Caernarfon,Caernarfonshire,-,"One object that had four lights on it. The lights were green, white, red and blue. The object was spinning in the sky."
1997,11,30,17:27,Bridgend,Mid Glamorgan,-,"One large, circular object. White and very bright. The object was moving backwards and forwards."
1997,12,5,02:09,8 Miles West,Isle of Anglesey,Pilot,"A bright, circular red light. About 3mm in diameter, relative to cockpit windscreen. Was moving in a Westerly direction."
1998,1,4,01:50,Raglan,Gwent,-,Circular in shape with a tail and extremely bright. It moved incredibly fast in different directions across the sky.
1998,1,24,15:00,Swansea,West Glamorgan,-,"Black, triangular shaped object, with two fins."
1998,1,25,20:25,Newport,Gwent,-,"One object, thought to be a star, with stud like lights underneath in a circle. Was travelling North in a straight line."
1998,2,9,15:40,Barry,South Glamorgan,-,"Blast of orange light. In the same direction, three golden balls appeared, that were brighter and then they disappeared."
1998,3,11,19:45,Bwlchgwyn,Clwyd,-,"A large, black, oblong shaped object, approx. 30-40ft long. It was about 15-25ft off the ground."
1998,3,30,23:20,Wrexham,Clwyd,-,"One large, square-ish, very bright object. Was blue-ish with lights around it. There was a humming sound and a nasty smell."
1998,3,31,04:20,Clywd Mountains/Clywd,Powys,-,"An object, had blue lights on the top and white lights on the bottom. Was 40ft in length. About 600ft high."
1998,5,9,21:40,Crumlin,Gwent,-,"A huge meccano/round type looking structure/object, with pulsing red, green and white lights. Very slow moving."
1998,5,18,03:15,Llanfair P G,Gwynedd,-,"One long shaped object, with six flashing lights. They were flashing from faded to very bright. They were moving from North to South."
1998,5,28,00:32,Bangor,Gwynedd,-,"One light, golden in appearance, larger and brighter than a planet. Was travelling from South West to the East."
1998,5,29,02:15,"Ogmore Vale,nr Bridgend",Mid Glamorgan,-,"No distinctive shape, but was extremely bright red. Had white and blue flashing lights. It was extremely noisy. Shot off at great speed."
1998,6,12,21:00,Benllech,Isle of Anglesey,-,"One white ball of light, the size of a 5p piece at arms length. Plus, there were two smaller, faint objects in trail too."
1998,8,2,01:40,Wrexham,Clwyd,-,"One glowing outer ring, surrounding an oval structure with pulsating lights."
1998,8,5,00:30,Brecon,Dyfed,-,"Vortex with white, red and green flashing lights. Rose straight up vertically from behind woods in the form of an arc. Smokey trail."
1998,8,12,22:00,Barry,South Glamorgan,-,Four main lights formed a cross. There were bright green and orange lights in the centre. Was larger than a 747.
1998,8,13,04:45,Llanrhaeaedr,Clwyd,-,"One huge, silver, star shaped object."
1998,8,21,09:50,Porthcawl,Mid Glamorgan,-,"A star size, bright object. Was blue/white in colour."
1998,8,24,00:30,Swansea,West Glamorgan,-,"A very bright, white light in the sky, moving fast."
1998,9,21,21:30,Waunfawr,Gwynedd,-,Spheres - colours on and off in sequences.
1998,11,15,03:45,Cardiff,South Glamorgan,-,"One huge 'aura' was seen, was tapered to one end, like a pen. Was multicoloured and shimmering."
1998,11,16,06:45,Llandrinio,Powys,-,One beam of blue light that was very bright. It then turned white and then disappeared leaving a vapour trail.
1998,11,16,06:40,Cardiff,South Glamorgan,-,"One bright, white light in the shape of a circle, with a vapour trail."
1998,11,16,05:15,Penrhyn Bay/Conwy,Gwynedd,-,"There were several blue-ish, white-ish lights."
1998,11,29,17:45,Abergevenny,Gwent,-,"One large, dark hexagonal object with two white lights. Was humming and flew low over the witnesses house."
1998,12,5,05:10,Blaenau,Gwent,-,"One very bright, white light. Very high altitude."
1999,1,7,18:30,Glanarfon,Wales,-,"One flat, triangular object, (like a shield), white in colour. Coloured lights mainly round the edge of the craft. Spotlight beneath."
1999,1,9,02:00,The Rhondda,Mid Glamorgan,-,"One large oval, with a sphere in the middle. Had bright blue, green and white lights on top of the craft. There was a humming noise."
1999,1,10,01:30,Llanelli,Dyfed,-,"One object, a pinprick of light changing colour between red, green and orange."
1999,1,21,20:45,Corwen,Denbighshire,-,"Flying saucer shape, with three square like windows, like a house. Was light - got lighter, then dimmed. Slightly tilted."
1999,2,2,17:25,Swansea,West Glamorgan,-,Cross shaped collection of five star like objects. Gold coloured lights.
1999,2,10,02:45,Swansea,West Glamorgan,Retired Air Traffic Controller,"A single blue and red object. Very bright. It made an S pattern in the sky, when finished, moved North East."
1999,2,11,18:45,Caernarvon,Gwynedd,-,"Single aircraft/object, that had rotors. It had blue, red and white strobes."
1999,3,9,18:30,Ammanford,Dyfed,-,Two dark grey objects. They then looked translucent. They were manoeuvring and then disappeared into the cloud.
1999,3,10,10:30,Bangor,Gwynedd,-,Flashing lights that were various colours. Shape unknown. Moving West.
1999,3,11,05:10,Newcastle Emlyn,Carmarthenshire,-,"One, large, round white light. Very bright. Moving from West to East."
1999,3,13,21:25,Cardiff and Pontypridd,South Glamorgan,-,"Cardiff - Set of one red, blue and yellow lights in a straight line. Very bright. Pontypridd - one set of bright white lights in a triangle."
1999,4,1,02:05,Llandovery,Dyfed,-,One capsule. Blue and silver at rear.
1999,4,29,16:00,-,Mid-Glamorgan,-,Circular shaped object. Too high to be a bird and too low to be a plane. Was travelling from East to West.
1999,5,26,21:35,Swansea,West Glamorgan,-,"One object, white and very bright. Very high up and very fast."
1999,6,8,22:35,Monmouth,Gwent,-,"One object, the size of a hot air balloon. Was bright, with a honeycomb of light. Was stationary and then flew off."
1999,6,8,19:24,Rhymney Valley,Gwent,-,"One metallic sphere, approximately five-six metres. Was flying erratically from South to North along the Rhymney Valley."
1999,6,12,01:05,Flint,Clwyd,-,"Disc/star shape object with coloured lights, blue and green, spinning around it. Sphere of light high in the atmosphere."
1999,7,10,20:55,Porthcawl,Mid-Glamorgan,-,One cylindrical object. White and very bright. Was moving from left to right.
1999,7,11,00:00,Llangynog,Powys,-,"Like a medium, bright star. Made an unusual gentle ark. Then some strange squiggles from left to right. High up in the sky."
1999,7,12,11:45,Flint,Flintshire,-,"One star shaped object. Coloured lights around it - green, blue and red. Spinning."
1999,7,15,01:10,Dwyfach,Gwynedd,-,A bright light.
1999,7,25,22:25,Porthcawl,Mid Glamorgan,-,"One disc shaped object, bluey silver in colour. Moved in a straight line. Definitely not a star or planet."
1999,9,13,01:40,Penarth/Cardiff,South Glamorgan,-,"Large, bright object."
1999,10,5,21:55,Llanbedrog,Gwynedd,-,"One object, larger than normal aircraft, tubular shape. Was bright green tinged with blue. Moved downwards leaving trail behind."
1999,10,18,19:21,Shotton,Flintshire,-,"UFO with a light, was hovering. A second UFO appeared. Had a large bright, white light. Also seemed to have red and green fleck on it."
1999,10,26,18:40,Benllech,Anglesey,-,"A white, onion shaped object, which was glowing white, with sparks. Was moving rapidly in a straight line."
1999,11,18,16:00,Crickhowell,Gwent,-,A vertical orange line near the horizon. Moved to a horizontal position. One inch at arms length.
1999,11,28,22:08,Pentraeth,Gwynedd,-,Giant dewdrop shaped object. Had a yellow centre and a green/blue haze around the outside. Too big to be a shooting star.
1999,12,4,22:10,Newport,Gwent,-,"A bright, Venus, pale orange object. Was moving as a bird would, in and out of formation."
1999,12,7,17:45,Newport,Gwent,-,One star shaped object. White and very bright. Very erratic movement.
2000,2,25,19:30,Newport,Gwent,-,Three objects/lights that were flickering on and off. They moved West and then moved to the South.
2000,3,29,00:00,Welshpool,Powys,-,"Comet shaped and with about a one foot long flare, four to six times bigger than a star. Moving from East to North East."
2000,4,13,20:23,Crosskeys,Gwent,-,One star shaped object. Moving West.
2000,4,27,21:00,"A5104, Rhydtalog",Flintshire,-,One large white ball. It hovered and then disappeared.
2000,7,21,00:10,Neath,West Glamorgan,-,"One object, like a malteser when held at arms length. Spherical and very bright. Orange, red, green and white colours on it. Pulsating."
2000,8,1,15:30,Cardiff,Vale of Glamorgan,-,"One circular, silvery white disc. Was right above the witness and then shot off."
2000,8,26,20:30,Snowdonia Mountains,North Wales,-,"A large fireball/meteorite/piece of debris spotted over the mountains. It seemed to be flaming, rather than glowing."
2000,9,2,02:30,Blackwood,Gwent,-,"Diamond shape, with three lights. One red and two white lights changing colour."
2000,9,16,04:00,Shell Island,North Wales,-,"Triangular, stacked as plates, with triangular shaped windows with lights."
2000,9,28,20:10,Rhuddlan nr Rhyl,Clwyd,Police Officer,Big explosion with an intense white light.
2000,10,21,18:45,St Athan,South Glamorgan,-,Red light. Hovered.
2000,11,5,23:34,Pen Machno,West Glamorgan,-,"One large, round fireball. Very bright."
2000,11,17,18:00,Taff's Well,South Glamorgan,-,Bright light in the sky.
2000,11,23,18:30,Pontypridd,Mid Glamorgan,-,"One large, round light. Gold, then changed to red/amber. Changing from one side to the other."
2000,12,29,23:00,Pantymwyn,Flintshire,-,"Object, roundish shape, silvery white. Was quite low down and enormously bright."
2001,1,5,17:15,Ogwen Valley,North West Wales,-,"Like a shooting star, but with a burning tail. About the size of a military aircraft. It looked like it was heading towards the ground."
2001,2,4,04:00,-,South Wales,-,"Object was a tri-angle shape, like an inverted ice cream cone. The object disappeared down a country lane."
2001,2,7,19:40,Caernarfon,North Wales,-,"It initially looked like a star. Looked like it was going to crash into the witness's house. Was a green colour, with red on the side."
2001,2,7,19:45,"Amlwch, Anglesey",North Wales,-,"One object, with a blue glow, which then turned green. It broke up and left smoke. It seemed very large."
2001,2,12,19:30,"Trehafod, Ponty Pridd",Mid-Glamorgan,-,One bright object. Looked star shaped. Rose fast in the sky and then disappeared.
2001,3,1,10:00,Holyhead,North Wales,-,Looked like a bright star. Had a pulsating red and green light. Was stationary and then moved off.
2001,5,14,06:50,Rhonda Valley,Wales,-,One tennis ball sized object. Was round at the front and had a triangular back. Was rainbow coloured and very bright.
2001,6,25,21:00,Llanelli,Wales,-,"One large, disc shaped object. Black in colour. It then changed to oval shape. The object was moving fast to the West."
2001,7,18,21:15,Milford Haven,South West Wales,-,"Eight star sized objects, with lights that were red, white, blue and yellow. Six were following two."
2001,8,4,00:40,Port Talbot,Wales,-,"Two large, shining golf ball like objects. They were moving in and out of the clouds."
2001,8,16,21:30,Newport,Gwent,-,"One large, round shaped object. White and very bright. Moved fast upwards in the sky."
2001,11,9,18:00,Welshpool,Powys,-,One triangular object with lights.
2001,11,26,11:20,Briton Ferry,West Glamorgan,-,"One silver object, long cylinder hanging from a parachute or balloon, drifting SE. It was very big and very high."
2001,12,10,18:15,Torfaen,Gwent,-,"Three lights together, that looked like an elongated triangle. The lights were very bright."
2002,1,9,23:30,Swansea,West Glamorgan,-,"Green, circular object, that was hovering in its position."
2002,2,24,19:00,Newport,Gwent,-,"One large and three smaller triangular objects seen, with bright red and blue flashing lights."
2002,4,8,08:35,Port Talbot,West Glamorgan,-,"One large, round, very bright green object going very fast to the East."
2002,6,4,03:20,Llansamlet,West Glamorgan,-,"Six objects were seen omitting a bright, white light. They travelled at a slow, steady speed."
2002,11,2,23:00,Gors-goch,Dyfed,-,Round yellowish light followed by a green light. Went up vertically.
2002,11,2,22:58,Llanerchymedd,Gwynedd,-,"One light, the size of a football moving slowly at about 2-3000ft."
2002,11,28,14:26,Cardiff Docks,South Glamorgan,-,Two sightings over Cardiff docks. The objects were of different colours and were moving up and down.
2003,1,4,21:15,"St Clares, Nr Carmarthen",Dyfed,-,"White object with vivid flashing green, blue and red lights."
2003,1,15,22:10,Cowbridge,South Glamorgan,-,"A large round disc, slightly smaller than the moon. Creamy white then changed green."
2003,3,2,15:54,Pontypridd,Mid-Glamorgan,-,"Strange object, silver and shaped like a dart."
2003,6,14,21:35,Llandrindod Wells,Powys,-,Very big red light balls hovering. One red light hung smaller and then dropped out.
2003,7,12,22:05,Rhonda,Mid-Glamorgan,-,"Two round objects with legs, which were black and spinning."
2003,8,13,22:55,Maesteg,Mid-Glamorgan,-,"Roundish, football shaped. Flashing lights-multi coloured. The lights were on top, then moved around the object."
2003,8,14,23:09,Newport,Gwent,-,Orange circular object seen. Stayed stationary.
2003,9,24,19:25,Barry,South Glamorgan,-,"Saw an unusual object, falling from a cloud, like it was burning, and was very fast. Was viewed for five minutes."
2004,2,18,16:02,Rhyl,Clwyd,-,Large black object over Rhyl.
2004,9,5,15:20,Barry,South Glamorgan,-,"The object was a bright light at first and then looked like a box kite. There was no sound, wings or fuselage."
2004,9,7,11:30,Holywell,Flintshire,-,"Two silvery objects, they were pulling apart and moving together and they left vapour trails as they were moving."
2004,9,8,20:15,Cardiff,South Glamorgan,-,"Large flash of light which turned into a grey object descending over Cardiff bay, with trailing smoke behind it."
2004,9,24,06:30,Newport,Dyfed/South Wales,-,"One object that looked like a disc, with a tail and was shiny."
2005,1,31,05:00,Port Talbot,West Glamorgan,-,"Looked like an orange ball of light, like a big star in the sky and it had spiderish legs."
2005,2,19,19:45,Llangollen,Clwyd,-,A number of orange lights seen in the sky.
2005,2,20,09:50,Cardiff,South Glamorgan,-,"Bright blue object, that broke into about 3/4 segments and then disappeared."
2005,3,20,19:35,-,North Wales,-,Just said saw a UFO.
2005,4,29,-,-,Pembrokeshire,-,"Saw a thing in the sky like a white square box, travelling towards Newport."
2005,9,2,21:30,Rhossili Bay,South Wales,-,"A bright object was travelling at high speed, horizontally, West to East. The object was a matt white, which looked like marble."
2005,10,26,23:58,-,Wales,-,The object looked like a red ball and was the size of a sixpence. It exploded and the whole sky lit up.
-,-,-,-,Port Talbot,West Glamorgan,-,Said it looked like a parachute flare.
-,-,-,-,Swansea,West Glamorgan,Coastguard,Said it looked like a parachute flare.
-,-,-,-,Briton Ferry,West Glamorgan,-,Just said something was seen in the sky. (Was seen sometime in February 2005).
-,-,-,-,Cardiff,South Wales,-,A UFO. (Seen sometime in 2005).
-,-,-,-,Pontyclun,South Wales,-,A UFO. (Seen sometime in 2005).
-,-,-,-,Croesyceiliog,Gwent,-,The witness saw five to six white lights flying very fast overhead. They looked a bit like bright stars.
-,-,-,22:00,A5,North Wales,-,"Witness saw bright lights dancing in the sky, on the way to Llandudno. (Seen in January 2005)."
-,-,-,23:10,Monmouth,Gwent,-,"A flying saucer was seen, while looking out of the bedroom window. (Was seen in October 2005)."
2006,5,8,13:11,St. Tudwal's Islands,Mid-Wales,-,The object looked like a black square hanging in the sky.
-,-,-,-,Churchstoke,Powys,-,"The object was disc shaped, with four different colours - blue, green, white and orange. (Seen 2006 - Message taken 3 July 2006)."
2007,1,16,20:45,Llanpumsaint,Carmarthenshire,-,"Ball of light that faded away, then came back again. Orange ball was near the car._x000D_Three red lights were seen moving clockwise."
2007,5,29,23:45,Pontrobert/Meiford,Powys,-,Triangular shaped object. About 100ft high/large. Bright green and blue. A second_x000D_object appeared and it had pink pulsating lights.
2007,9,1,22:30,Silver Bay/Rhoscolyn,Isle of Anglesey,-,The object looked like a brightly coloured aircraft. The object was moving quite_x000D_fast.
2007,12,8,-,Bryn,West Glamorgan,-,Two clusters of amber/orange and white lights in triangular formations. They_x000D_travelled horizontally in a North Westerly direction. They moved like a cork that_x000D_was bobbing on water.
-,-,-,-,Pontrennau/Cardiff,West Glamorgan,-,A UFO was seen. (UFO was seen sometime in December 2007). (Message taken_x000D_3 January 2008).
-,-,-,23:00,Pontypridd,Mid-Glamorgan,-,"An object which had all these different lights. When the lights flashed, they looked_x000D_like they were different shapes. Then both ends of the object started to flash._x000D_(Seen in Nov 2007 and message taken 3 Jan 2008)."
-,-,-,-,Whitchurch,West Glamorgan,-,A UFO was seen. (UFO was seen sometime in December 2007). (Message taken_x000D_3 January 2008).
-,-,-,-,Cardiff,West Glamorgan,-,"The witness saw spaceships and then said that one of them abducted his dog, car_x000D_and tent when he and some friends were out camping. (Message taken 3 January_x000D_2008 and the UFO was seen sometime in 2007)."
-,-,-,-,Cardiff,West Glamorgan,-,A UFO was seen. (UFO was seen sometime in December 2007). (Message taken_x000D_3 January 2008).
2008,2,9,18:00,Abertillery,Gwent,-,There was an object in the sky that looked like a glowing red ball. A strange substance like molten metal burst from it as it went overhead. It moved without sound.
2008,3,2,23:00,Northop Hall,Flintshire,-,A bright circle shape was seen. It moved_x000D_quickly and was quite erratic in the sky. It shot_x000D_to the left over some houses and then_x000D_disappeared.
2008,5,19,02:30,Rhydwyn/Caergybi,Isle of Anglesey,-,"A round, bright white object. It was moving_x000D_from SW to NE, and moved slowly and_x000D_quietly."
2008,6,6,22:59,Godrer Aran/Llanuwchllyn,Gwynedd,-,Two orange lights were seen. They were fast_x000D_moving. One moved to the East to Bala and_x000D_the other one climbed vertically.
2008,6,23,23:10,Barry,Vale of Glamorgan,-,Eleven objects in the sky.
2008,7,27,16:30,Pontypridd,Mid Glamorgan,-,An object was travelling at high speed. It_x000D_appeared to be round like a football. It was_x000D_travelling from South East to North East. It_x000D_then disappeared.
2008,8,3,22:00,Barry,Glamorgan,-,Three UFOs or something.
2008,8,15,21:10,Argoed,West Glamorgan,-,"Three bright orange lights/objects in the sky,_x000D_about a mile away. One of the objects was_x000D_black and disc shaped. It moved quick and_x000D_was silent."
2008,10,14,-,Swansea,West Glamorgan,-,"There was a continual orange, strange shapein the sky. There was a very odd light too."
2008,10,29,-,Erbistock/Wrexham,Clwyd,-,An unusual sighting.
2008,12,1,21:30,Village of Llangwm,Pembrokeshire,-,"A very bright light, which had a long white tail._x000D_It then shot across the sky and the whole field_x000D_was lit up. The light then began to break up."
2008,12,26,02:30,Old Colwyn,North wales,-,"Bigger than a helicopter, 250 metres up,_x000D_silent, with something like a bar coming off it._x000D_30 seconds later flew off over the sea followed_x000D_closely by a helicopter"
-,-,-,-,Cardiff,West Glamorgan,-,A UFO. (Message taken 10 January 2008).
-,-,-,21:05,Caerleon/Newport,Gwent,-,Two balls of fire were hovering in the sky.They then elevated up and shot off into thedistance. (Message taken 12 May 2008).
-,-,-,01:45,Newport,Gwent,-,A single object. (Message taken 28 July2008).
-,-,-,-,Swansea,Glamorgan,-,A UFO. (Message taken 11 August 2008).
-,-,-,23:00,Haverfordwest,Pembrokeshire,-,A UFO. (Message taken 8 September 2008).
-,-,-,-,Neath,Neath & Port Talbot,-,Three glowing objects. The objects weremoving towards the witness and then movedstraight up into the sky. (Message taken 14October 2008).
-,-,-,-,Mumbles/Swansea,Glamorgan,-,A UFO. (Message taken 14 October 2008).
2009,1,1,-,Porthcawl,Mid Glamorgan,-,A diamond shaped red light came towards him from the sea. Rear_x000D_end of diamond was a blue light. It was incredibly hot as it passed_x000D_overhead. No sound.
2009,1,1,-,Llandudno,Clwyd,-,A bright orange light.
2009,1,6,-,Cardigan,Cardiganshire,-,Five rather big orange things flew over the witness. He was terrified.
2009,1,23,20:58,Undy,Newport,-,"Object had a large light on the front and a smaller red and green_x000D_light on either side, as if on the ends of a planes wings. Base was a_x000D_perfect square and black in colour. It made a quiet humming sound."
2009,1,23,21:40,West Cross,Swansea,-,Large ball of light. Light did not diminish. Very strange. Made no_x000D_sound. Very strange.
2009,2,7,-,Gorseinon,Swansea,-,Strange object seen when he developed photographs he had taken.
2009,2,15,06:30,Bennech,Anglesey,-,Strange lights seen over the bay.
2009,2,22,01:10,Chepstow,Gwent,-,A single object the size of a large car. Silver with flames flickering_x000D_from the underside. Then moved up and away.
2009,3,22,20:00,Adfa,Powys,-,Looked like a satellite crashing or a star. It was fairly pacey and then_x000D_slowed to a halt. It moved off after 20 seconds and gathered speed._x000D_It became a dot and vanished.
2009,3,24,05:17,Bridgend,Glamorgan,-,Four UFOs flying beneath two aircraft. They moved much faster_x000D_than the aircraft. Greyish in colour with a dome on top and bottom._x000D_Flew over the Waterton Industrial Estate.
2009,4,4,21:02,Abergavenny,Gwent,-,Two UFOs.
2009,4,13,21:00,Moelfre,Angelsey,-,Looked like a Chinese lantern.
2009,4,28,-,Tywyn,Gwynedd,-,A big bright orange light. It turned white and then disappeared very_x000D_quickly. It made no noise.
2009,5,3,21:30,Ammanford,Dyfed,Pilot,Seven orange orbs that suddenly disappeared. They were on a_x000D_North-South trajectory. Witness contacted Cardiff Air Traffic Control_x000D_who had nothing on radar.
2009,5,16,22:00,Deeside,Flintshire,-,Seven bright orange lights in the sky. Silent. Travelling towards the_x000D_Wirral.
2009,5,24,00:00,Llandaff City,Cardiff,-,Seven bright red lights.
2009,5,25,12:00,Swansea,West Glamorgan,-,Three small yellow orbs travelling quite slow.
2009,6,13,-,Porthcawl,Mid Glamorgan,-,A very bright orange circular shape. Got smaller as it moved away._x000D_Moving South West to South.
2009,6,14,-,Cardiff,South Glamorgon,-,A UFO.
2009,6,24,22:05,Swansea Bay,West Glamorgan,-,"A bright circle of fire travelling South Westerly. It was only a few_x000D_hundred feet up moving silently across the sky at 30mph and then_x000D_after four minutes, vanished."
2009,7,1,18:45,Swansea,West Glamorgan,-,"Seemed like a rather large disc or round in appearance. It was dark_x000D_in colour but bounced sunlight off its surface. It was floating or_x000D_bobbing up and down. Other aircraft were at the same altitude and_x000D_could be heard, the object made no noise."
2009,7,2,22:20,Blackwood,Gwent,Ex-test engineer for Hawker Siddley,A bright orange light seen through the tree line. It turned and cleared_x000D_the tree line. The other side of the object appeared to be a large_x000D_rectangle shape of fire red/orange. It was silent. The object slowly_x000D_climbed in the direction of Gloucester.
2009,7,19,01:22,Newport,Gwent,-,"A bright, reddish light travelling W to E, below cloud level. It made_x000D_no sound. It was moving in a straight line but too slow to be a_x000D_meteorite. It had no navigation type lights."
2009,8,7,10:00,Cardiff,Wales,-,Unusual lights above Cardiff travelling silently.
2009,8,7,22:00,Cardiff,South Glamorgon,-,Unusual lights travelling silently from West to East.
2009,8,12,23:03,Morfa Nefyn,Pwllheli,-,Bright light shone through the window. Saw three lights size of a_x000D_basket ball moving up/down and rotating on own axis. Seemed to_x000D_loose power after 30 seconds and vanished.
2009,8,17,21:19,Newport,Gwent,-,"Bright orange light, definitely not a plane."
2009,9,1,-,Penarth,South Wales,-,Very bright object above the sun.
2009,9,8,20:00,RAF Valley,Anglesey,-,Two round balls were in the sky chasing each other.
2009,9,19,20:15,Betws,Dyfed,Journalist,"Three objects, like bright orange tennis balls stuck together flying_x000D_across the sky."
2009,9,19,20:19,Anglesy,North Wales,-,"Object was similar to an egg shape and was amber in colour and_x000D_appeared to be hovering over  field's before disappearing.  Five_x000D_minutes later two objects appeared in same area, then disappeared_x000D_and reappeared over the Meni Straits."
2009,9,29,20:10,Connah's Quay,Flintshire,-,"Bright orange light, 1cm deep, joined by a second light, no sound."
2009,10,5,-,Cardiff,South Glamorgon,-,Two objects seen in sky.
2009,10,10,23:10,Beaumaris,Anglesey,-,"Two triangular orange lights, about 10 seconds apart."
2009,10,31,-,Maesteg,Bridgend,-,Orange red sphere giving off light moved up into the clouds without_x000D_making any noise.
2009,10,31,20:20,Llynfi Valley,Mid-Glamorgan,-,Orange oval UFO passing by.
2009,11,5,19:34,Pontarddulais,Swansea,-,"Silent, off red, blood orange colour and entire sphere emitted light._x000D_No spotlights. Light remained constant and didn’t flicker. Saw for_x000D_four minutes."
2009,11,8,18:10,Porthcawl,Mid-Glamorgan,-,No description provided.
2009,11,19,-,Rumney,Cardiff,-,Four lights whirling about above the nature reserve.
